alendronato de sódio | comprimido | 10 mg | Componente Básico (CBAF);
alendronato de sódio | comprimido | 70 mg | Componente Básico (CBAF);
alentuzumabe | solução para diluição para infusão | 10 mg/mL | Componente Especializado (CEAF);
alfa-alglicosidade | pó para solução injetável | 50 mg | Componente Especializado (CEAF);
alfacerliponase | solução para infusão | 30 mg/mL | Componente Especializado (CEAF);
alfadornase | solução inalatória | 1 mg/mL | Componente Especializado (CEAF);
alfaelosulfase | solução injetável | 5 mg | Componente Especializado (CEAF);
alfaepoetina | pó para solução injetável | 1.000 UI | Componente Especializado (CEAF);
alfaepoetina | pó para solução injetável | 10.000 UI | Componente Especializado (CEAF);
alfaepoetina | pó para solução injetável | 2.000 UI | Componente Especializado (CEAF);
alfaepoetina | pó para solução injetável | 3.000 UI | Componente Especializado (CEAF);
alfaepoetina | pó para solução injetável | 4.000 UI | Componente Especializado (CEAF);
alfaepoetina | solução injetável | 1.000 UI | Componente Especializado (CEAF);
alfaepoetina | solução injetável | 10.000 UI | Componente Especializado (CEAF);
alfaepoetina | solução injetável | 2.000 UI | Componente Especializado (CEAF);
alfaepoetina | solução injetável | 3.000 UI | Componente Especializado (CEAF);
alfaepoetina | solução injetável | 4.000 UI | Componente Especializado (CEAF);
alfagalsidase | solução injetável | 1 mg/mL | Componente Especializado (CEAF);
alfainterferona 2b | pó para solução injetável | 10.000.000 UI | Componente Especializado (CEAF);
alfainterferona 2b | pó para solução injetável | 3.000.000 UI | Componente Especializado (CEAF);
alfainterferona 2b | pó para solução injetável | 5.000.000 UI | Componente Especializado (CEAF);
alfapeginterferona 2a | solução injetável | 180 mcg | Componente Estratégico (CESAF);
alfapeginterferona 2b | pó para solução injetável | 118,4 microgramas (80 microgramas/0,5 mL após reconstituição) | Componente Estratégico (CESAF);
alfapeginterferona 2b | pó para solução injetável | 148 microgramas (100 microgramas/0,5 mL após reconstituição) | Componente Estratégico (CESAF);
alfapeginterferona 2b | pó para solução injetável | 177,6 microgramas (120 microgramas/0,5 mL após reconstituição) | Componente Estratégico (CESAF);
alfaporactanto (surfactante pulmonar) | suspensão injetável intratecal ou intrabronquica | 80 mg/mL | Componente Especializado (CEAF);
alfataliglicerase | pó para solução injetável | 200 U | Componente Especializado (CEAF);
alfatirotropina (tsh recombinante) | pó liofilizado para solução injetável | 1,1 mg | Componente Especializado (CEAF);
alfavelaglicerase | pó para solução injetável | 400 U | Componente Especializado (CEAF);
alfavestronidase | solução injetável | 2 mg/mL | Componente Especializado (CEAF);
algestona acetofenida + enantato de estradiol | solução injetável | 150 mg/mL + 10 mg/mL | Componente Básico (CBAF);
alopurinol | comprimido | 100 mg | Componente Básico (CBAF);
alopurinol | comprimido | 300 mg | Componente Básico (CBAF);
alteplase | pó para solução injetável | 10 mg | Componente Especializado (CEAF);
alteplase | pó para solução injetável | 20 mg | Componente Especializado (CEAF);
alteplase | pó para solução injetável | 50 mg | Componente Especializado (CEAF);
ambrisentana | comprimido | 10 mg | Componente Especializado (CEAF);
ambrisentana | comprimido | 5 mg | Componente Especializado (CEAF);
amoxicilina | cápsula | 500 mg | Componente Básico (CBAF);
amoxicilina | comprimido | 500 mg | Componente Básico (CBAF);
amoxicilina | suspensão oral | 50 mg/mL | Componente Básico (CBAF);
amoxicilina + clavulanato de potássio | comprimido | 500 mg + 125 mg | Componente Básico (CBAF);
amoxicilina + clavulanato de potássio | suspensão oral | 50 mg/mL + 12,5 mg/mL | Componente Básico (CBAF);
anastrozol | comprimido revestido | 1 mg | Componente Especializado (CEAF);
anfotericina B (complexo lipídico) | suspensão injetável | 5 mg/mL | Componente Estratégico (CESAF);
anfotericina B (desoxicolato) | pó para solução injetável | 50 mg | Componente Estratégico (CESAF);
anfotericina B (lipossomal) | pó para solução injetável | 50 mg | Componente Estratégico (CESAF);
anidulafungina | pó liofilizado para solução injetável | 100 mg | Componente Estratégico (CESAF);
antimoniato de meglumina | solução injetável | 300 mg/mL | Componente Estratégico (CESAF);
aroeira (Schinus terebinthifolia Raddi) | gel vaginal | 1,932 mg de ácido gálico (dose diária) | Componente Básico (CBAF);
arteméter + lumefantrina | comprimido | 20 mg + 120 mg | Componente Estratégico (CESAF);
artesunato | pó para solução injetável | 60 mg/mL | Componente Estratégico (CESAF);
artesunato + mefloquina | comprimido | 100 mg + 220 mg | Componente Estratégico (CESAF);
artesunato + mefloquina | comprimido | 25 mg + 50 mg | Componente Estratégico (CESAF);
asciminibe | cápsula | 20 mg | Componente Especializado (CEAF);
asciminibe | cápsula | 40 mg | Componente Especializado (CEAF);
atenolol | comprimido | 100 mg | Componente Básico (CBAF);
atenolol | comprimido | 50 mg | Componente Básico (CBAF);
atorvastatina cálcica | comprimido | 10 mg | Componente Especializado (CEAF);
atorvastatina cálcica | comprimido | 20 mg | Componente Especializado (CEAF);
atorvastatina cálcica | comprimido | 40 mg | Componente Especializado (CEAF);
atorvastatina cálcica | comprimido | 80 mg | Componente Especializado (CEAF);
azacitidina | frasco ampola | 100 mg | Componente Especializado (CEAF);
azatioprina | comprimido | 50 mg | Componente Especializado (CEAF);
azitromicina | comprimido | 250 mg | Componente Estratégico (CESAF);
azitromicina | comprimido | 500 mg | Componente Básico (CBAF);
azitromicina | pó para suspensão oral | 40 mg/mL | Componente Básico (CBAF);
babosa (Aloe vera (L.) Burm. f.) | creme | 10-70% gel fresco | Componente Básico (CBAF);
babosa (Aloe vera (L.) Burm. f.) | gel | 10-70% gel fresco | Componente Básico (CBAF);
baricitinibe | comprimido | 2 mg | Componente Especializado (CEAF);
baricitinibe | comprimido | 4 mg | Componente Especializado (CEAF);
basiliximabe | pó para solução injetável | 20 mg | Componente Especializado (CEAF);
bedaquilina | comprimido | 100 mg | Componente Estratégico (CESAF);
benralizumabe | solução injetável | 30 mg/mL | Componente Especializado (CEAF);
benzilpenicilina benzatina | pó para suspensão injetável | 1.200.000 UI | Componente Básico (CBAF);
benzilpenicilina benzatina | pó para suspensão injetável | 600.000 UI | Componente Básico (CBAF);
